CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_D_48_FON_UT,CALIDAD_TOX_D_48_FON,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,TOX_FIS_FON_15_UT,CALIDAD_TOX_FIS_FON_15,SEMAFORO,CONTAMINANTES,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
OCFSU6488,RÍO EL TABLÓN I,FRONTERA SUR,CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,SUCHIAPA,RIO EL TABLÓN,LÓTICO,RÍO,-93.32256,16.48387,2022,13.47,Aceptable,22.37,Aceptable,172,Contaminada,460,Aceptable,43,Excelente,,,71.3,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"SST,",SI,SI,NO,SI,SI,ND,SI,SI,LOTICO
OCFSU6489,RÍO EL TABLÓN II,FRONTERA SUR,CHIAPAS,VILLAFLORES,SUCHIAPA,RIO EL TABLÓN,LÓTICO,RÍO,-93.41977,16.42186,2022,30.24,Contaminada,40.94,Contaminada,328,Contaminada,2400,Contaminada,2400,Fuertemente contaminada,,,86.1,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DBO,DQO,SST,CF,E_COLI,",NO,NO,NO,NO,NO,ND,SI,SI,LOTICO
OCFSU6490,RÍO EL TABLÓN III,FRONTERA SUR,CHIAPAS,VILLAFLORES,SUCHIAPA,RIO EL TABLÓN,LÓTICO,RÍO,-93.51566,16.35121,2022,19.08,Aceptable,25.7,Aceptable,122,Aceptable,,,1100,Fuertemente contaminada,,,90.5,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"E_COLI,",SI,SI,SI,ND,NO,ND,SI,SI,LOTICO
OCFSU6491,PEÑITAS 4,FRONTERA SUR,CHIAPAS,OSTUACAN,PRESA PEÑITAS,PRESA PEÑITAS,LÉNTICO,PRESA,-93.44026,17.44501,2022,11.4,Aceptable,20.33,Aceptable,12,Excelente,23,Excelente,4,Excelente,,,,,55.4,Buena calidad,46.1,Aceptable,32.8,Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
OCFSU6492,PEÑITAS 5,FRONTERA SUR,CHIAPAS,OSTUACAN,PRESA PEÑITAS,PRESA PEÑITAS,LÉNTICO,PRESA,-93.44807,17.4353,2022,13.83,Aceptable,26.62,Aceptable,12,Excelente,93,Excelente,43,Excelente,,,,,93.9,Excelente,58.4,Buena calidad,32.8,Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
OCFSU6493,PEÑITAS 6,FRONTERA SUR,CHIAPAS,OSTUACAN,PRESA PEÑITAS,PRESA PEÑITAS,LÉNTICO,PRESA,-93.45856,17.4285,2022,9.84,Aceptable,19.36,Buena calidad,12,Excelente,150,Buena calidad,20,Excelente,,,,,104.1,Excelente,58.9,Buena calidad,33.7,Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
OCFSU6494,MALPASO 1,FRONTERA SUR,CHIAPAS,TECPATAN,PRESA NEZAHUALCÓYOTL,PRESA NEZAHUALCÓYOTL,LÉNTICO,PRESA,-93.5994,17.17468,2022,15.06,Aceptable,24.54,Aceptable,<10,Excelente,75,Excelente,75,Excelente,,,,,100.1,Excelente,61.7,Buena calidad,24.6,Contaminada,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"OD%F,",SI,SI,SI,SI,SI,ND,NO,SI,LENTICO
OCFSU6495,MALPASO 2,FRONTERA SUR,CHIAPAS,TECPATAN,PRESA NEZAHUALCÓYOTL,PRESA NEZAHUALCÓYOTL,LÉNTICO,PRESA,-93.60036,17.17616,2022,20.04,Aceptable,29.26,Aceptable,<10,Excelente,93,Excelente,21,Excelente,,,,,129.3,Aceptable,67.1,Buena calidad,36.3,Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
OCFSU6496,MALPASO 3,FRONTERA SUR,CHIAPAS,TECPATAN,PRESA NEZAHUALCÓYOTL,PRESA NEZAHUALCÓYOTL,LÉNTICO,PRESA,-93.59855,17.17653,2022,12.39,Aceptable,18.41,Buena calidad,<10,Excelente,15,Excelente,9,Excelente,,,,,112,Buena calidad,56.6,Buena calidad,26.7,Contaminada,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"OD%F,",SI,SI,SI,SI,SI,ND,NO,SI,LENTICO
OCFSU6497,MALPASO 4,FRONTERA SUR,CHIAPAS,TECPATAN,PRESA NEZAHUALCÓYOTL,PRESA NEZAHUALCÓYOTL,LÉNTICO,PRESA,-93.59679,17.17604,2022,9.72,Aceptable,17.94,Buena calidad,<10,Excelente,23,Excelente,23,Excelente,,,,,115.7,Buena calidad,67.1,Buena calidad,24.5,Contaminada,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"OD%F,",SI,SI,SI,SI,SI,ND,NO,SI,LENTICO
OCGCE0001RNL,PUENTE REMOLINO. PUNTO DE FUGA (ABAJO).,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,PAPANTLA,TECOLUTLA,RÍO TECOLUTLA,LÓTICO,RÍO,-97.23656,20.39776,2022,<2,Excelente,<10,Excelente,,,90,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,SI,SI,ND,SI,ND,ND,ND,SI,LOTICO
OCGCE0002RNL,PUENTE REMOLINO.(ARRIBA),GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,PAPANTLA,TECOLUTLA,RÍO TECOLUTLA,LÓTICO,RÍO,-97.23743,20.39816,2022,<2,Excelente,<10,Excelente,,,390,Aceptable,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,SI,SI,ND,SI,ND,ND,ND,SI,LOTICO
OCGCE0003RNL,PUENTE REMOLINO CARCAMO P31.,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,PAPANTLA,TECOLUTLA,RÍO TECOLUTLA,LÓTICO,RÍO,-97.23584,20.40099,2022,<2,Excelente,<10,Excelente,,,210,Aceptable,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,SI,SI,ND,SI,ND,ND,ND,SI,LOTICO
OCGCE0004RNL,PREDIO LA BUGAMBILIA,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,XALAPA,ACTOPAN,MANANTIAL EL CASTILLO,LÓTICO,ARROYO,-96.86071,19.55236,2022,<2,Excelente,<10,Excelente,,,240,Aceptable,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,SI,SI,ND,SI,ND,ND,ND,SI,LOTICO
OCGCE0005RNL,LA CONCEPCIÓN,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,PIEDRAS NEGRAS,ACTOPAN,RÍO BLANCO,LÓTICO,MANANTIAL,-96.90326,19.60799,2022,2.19,Excelente,<10,Excelente,,,15.75,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,SI,SI,ND,SI,ND,ND,ND,SI,LOTICO
OCGCE0006RNL,PIEDRAS NEGRAS,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,PIEDRAS NEGRAS,RÍO BLANCO,RÍO BLANCO,LÓTICO,RÍO,-96.18401,18.73972,2022,7.8,Aceptable,76.42,Contaminada,,,640,Aceptable,,,,,,,,,,,,,,,,,,,,,,,,,Rojo,"DQO,",SI,NO,ND,SI,ND,ND,ND,SI,LOTICO
OCGCE0007RNL,LAS MONJAS,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,COATEPEC,LA ANTIGUA,RÍO PIXQUIAC,LÓTICO,RÍO,-96.57388,19.30234,2022,,,,,,,230,Aceptable,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,ND,ND,ND,SI,ND,ND,ND,SI,LOTICO
OCGCE0008RNL,COL. SEIS DE ENERO,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,COATEPEC,LA ANTIGUA,RÍO PIXQUIAC,LÓTICO,RÍO,-96.56484,19.29572,2022,,,,,,,430,Aceptable,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,ND,ND,ND,SI,ND,ND,ND,SI,LOTICO
OCGCE0009RNL,MARIANO ESCOBEDO,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,COATEPEC,LA ANTIGUA,RÍO PIXQUIAC,LÓTICO,RÍO,-96.56382,19.29412,2022,,,,,,,930,Aceptable,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,ND,ND,ND,SI,ND,ND,ND,SI,LOTICO
OCGCE0012RNL,VENERO LOS BERROS,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,IXHUATÁN DEL CAFÉ,RÍO JAMAPA,RÍO JAMAPA,LÓTICO,RÍO,-96.92797,19.06727,2022,,,,,,,230,Aceptable,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,ND,ND,ND,SI,ND,ND,ND,SI,LOTICO
OCGCE0013RNL,XALAJAPA,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,IXHUATÁN DEL CAFÉ,RÍO JAMAPA,RÍO JAMAPA,LÓTICO,RÍO,-96.92686,19.06604,2022,,,,,,,6550,Contaminada,,,,,,,,,,,,,,,,,,,,,,,,,Amarillo,"CF,",ND,ND,ND,NO,ND,ND,ND,SI,LOTICO
OCGCE0016RNL,IXHUATEQUILLA,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,IXHUATÁN DEL CAFÉ,RÍO JAMAPA,RÍO JAMAPA,LÓTICO,RÍO,-96.92868,19.06398,2022,,,,,,,90,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,ND,ND,ND,SI,ND,ND,ND,SI,LOTICO
OCGCE0017RNL,ARROYO CHICO ANTES CONFLUENCIA. LOS PESCADOS,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,TEOCELO,LA ANTIGUA,LOS PESCADOS,LÓTICO,RÍO,-96.85682,19.36728,2022,,,<10,Excelente,,,430,Aceptable,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,ND,SI,ND,SI,ND,ND,ND,SI,LOTICO
OCGCE0018RNL,PUENTE LA HAMACA,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,TEOCELO,LA ANTIGUA,LOS PESCADOS,LÓTICO,RÍO,-96.85618,19.38051,2022,,,<10,Excelente,,,430,Aceptable,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,ND,SI,ND,SI,ND,ND,ND,SI,LOTICO
OCGCE0019RNL,PLAYA ARROYO DE LISA. APOYO ADMINISTRACIÓN LABORATORIO NACIONAL DE REFERENCIA .,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,SAN ANDRES TUXTLA,PAPALOAPAN,MAR,COSTERO,MAR,-95.18287,18.69337,2022,,,<10,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,ND,SI,ND,ND,ND,ND,ND,SI,COSTERO
OCGCE0021RNL,LAS MONJAS,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,COATEPEC,LA ANTIGUA,RÍO PIXQUIAC,LÓTICO,RÍO,-96.96085,19.50651,2022,,,,,,,160,Buena calidad,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,ND,ND,ND,SI,ND,ND,ND,SI,LOTICO
OCGCE0024RNL,COL. SEIS DE ENERO,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,COATEPEC,LA ANTIGUA,RÍO PIXQUIAC,LÓTICO,RÍO,-96.94689,19.49993,2022,,,,,,,80,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,ND,ND,ND,SI,ND,ND,ND,SI,LOTICO
OCGCE0031RNL,,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,XALAPA,ACTOPAN,LAGO,LÉNTICO,LAGO,-96.53825,19.31223,2022,3.17,Buena calidad,16.1,Buena calidad,,,669,Aceptable,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,SI,SI,ND,SI,ND,ND,ND,SI,LENTICO
OCGCE0036RNL,UBERO OAXACA,GOLFO CENTRO,OAXACA,MATIAS ROMERO,COATZACOALCOS,RÍO COATZACOALCOS,LÓTICO,ARROYO,-96.01057,17.31975,2022,4.95,Buena calidad,361.76,Fuertemente contaminada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rojo,"DQO,",SI,NO,ND,ND,ND,ND,ND,SI,LOTICO
OCGCE0039RNL,XALAJAPA,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,IXHUATÁN DEL CAFÉ,RÍO JAMAPA,RÍO JAMAPA,LÓTICO,RÍO,-96.92785,19.06726,2022,,,,,,,4,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,ND,ND,ND,SI,ND,ND,ND,SI,LOTICO
OCGCE3157,RIO COATZACOALCOS (SUCHILAPAN),GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,JESÚS CARRANZA,ALTO RÍO COATZACOALCOS,RIO COATZACOALCOS,LÓTICO A - TIPO 7 (HUMEDAL),RÍO,-94.950537,17.378475,2022,<2,Excelente,<10,Excelente,32,Buena calidad,24196,Fuertemente contaminada,1112,Fuertemente contaminada,,,94.4,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCGCE3158,RIO COATZACOALCOS (REF CHIQUITO),GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,HIDALGOTITLÁN,BAJO RÍO COATZACOALCOS,RIO COATZACOALCOS,LÓTICO A - TIPO 7,RÍO,-94.702557,17.698313,2022,5.2,Buena calidad,<10,Excelente,50.7,Buena calidad,6867,Contaminada,298,Buena calidad,,,81.6,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
OCGCE3159,ARROYO GOPALAPA,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,COATZACOALCOS,RÍO HUAZUNTLÁN,ARROYO GOPALAPA,LÓTICO A - TIPO 7,RÍO,-94.39708,18.08997,2022,4.58,Buena calidad,26.75,Aceptable,12.8,Excelente,12033,Fuertemente contaminada,2282,Fuertemente contaminada,,,10.2,Contaminada,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,OD%L,",SI,SI,SI,NO,NO,ND,NO,SI,LOTICO
OCGCE3160,ARROYO TEAPA (REFERENCIA),GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,COATZACOALCOS,RÍO HUAZUNTLÁN,ARROYO TEAPA AFLUENTE AL RIO COATZACOALCOS,LÓTICO A - TIPO 7,RÍO,-94.33204,18.11105,2022,6.36,Aceptable,<10,Excelente,<10,Excelente,2046,Contaminada,480,Buena calidad,,,55.6,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
OCGCE3161,RIO COATZACOALCOS (NANCHITAL),GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,NANCHITAL DE LÁZARO CÁRDENAS DEL RÍO,RÍO HUAZUNTLÁN,RIO COATZACOALCOS,LÓTICO A - TIPO 7 (HUMEDAL),RÍO,-94.4149,18.07554,2022,<2,Excelente,17.47,Buena calidad,<10,Excelente,256,Aceptable,75,Excelente,,,66.3,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
OCGCE3162,SAN ANTONIO II,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,RAFAEL DELGADO,RÍO BLANCO,RÍO SAN ANTONIO,LÓTICO A - TIPO 5,RÍO,-97.09081,18.8331,2022,2.71,Excelente,38.71,Aceptable,13,Excelente,24000,Fuertemente contaminada,24000,Fuertemente contaminada,,,81.1,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCGCE3163,BY PASS,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,IXTACZOQUITLÁN,RÍO BLANCO,RIO ESCAMELA,LÓTICO A - TIPO 5,RÍO,-97.05433,18.85721,2022,350,Fuertemente contaminada,859.37,Fuertemente contaminada,395.5,Contaminada,24000,Fuertemente contaminada,24000,Fuertemente contaminada,,,,,,,,,,,<1,No Toxico,11.76,Toxicidad alta,,,,,,,,,Rojo,"DBO,DQO,SST,CF,E_COLI,TOX_L,",NO,NO,NO,NO,NO,ND,ND,NO,LOTICO
OCGCE3165,CAPILLA CARLOTA,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,ORIZABA,RÍO BLANCO,RÍO ORIZABA,LÓTICO A - TIPO 5,RÍO,-97.0917,18.835,2022,2.57,Excelente,40.79,Contaminada,102,Aceptable,24000,Fuertemente contaminada,24000,Fuertemente contaminada,,,95.2,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
OCGCE3166,CD. MENDOZA,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,NOGALES,RÍO BLANCO,RIO BLANCO,LÓTICO A - TIPO 5,RÍO,-97.19723,18.78904,2022,<2,Excelente,26.21,Aceptable,13,Excelente,1500,Contaminada,280,Buena calidad,,,93,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
OCGCE3167,CAMPO CHICO,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,IXTACZOQUITLÁN,RÍO BLANCO,RIO BLANCO,LÓTICO A - TIPO 5,RÍO,-97.02402,18.83361,2022,18,Aceptable,75.79,Contaminada,54,Buena calidad,24000,Fuertemente contaminada,24000,Fuertemente contaminada,,,56.1,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
OCGCE3169,CUICHAPA AGUAS ARRIBA,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,OMEALCA,RÍO BLANCO,RIO BLANCO,LÓTICO A - TIPO 5,RÍO,-96.89111,18.78,2022,3.33,Buena calidad,84.13,Contaminada,26,Buena calidad,430,Aceptable,230,Buena calidad,,,40.6,Aceptable,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LOTICO
OCGCE3170,PUENTE CUAUHTEMOC-HUILOAPAN B,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,HUILOAPAN DE CUAUHTÉMOC,RÍO BLANCO,RIO BLANCO,LÓTICO A - TIPO 5,RÍO,-97.1611,18.8153,2022,<2,Excelente,34.13,Aceptable,<10,Excelente,24000,Fuertemente contaminada,24000,Fuertemente contaminada,,,94.5,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCGCE3171,OMEALCA (PASO DE ROSARIO),GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,CUICHAPA,RÍO BLANCO,RIO BLANCO,LÓTICO A - TIPO 5,RÍO,-96.72707,18.74456,2022,7.6,Aceptable,63.71,Contaminada,121,Aceptable,1500,Contaminada,930,Contaminada,,,36.2,Aceptable,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
OCGCE3172,DESEMBOCADURA RIO CAZONES,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,CAZONES DE HERRERA,RÍO CAZONES,BARRA DE CAZONES,LÓTICO - COSTERO,ESTUARIO,-97.19924,20.72439,2022,,,,,28,Buena calidad,<3,Excelente,,,41,Excelente,,,93.8,Excelente,,,,,,,,,,,,,<1,No Toxico,,,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
OCGCE3173,LA TINAJA (PUENTE),GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,TIERRA BLANCA,RÍO BLANCO,RIO BLANCO,LÓTICO A - TIPO 5,RÍO,-96.45603,18.74163,2022,14.33,Aceptable,65.38,Contaminada,154,Contaminada,70,Excelente,30,Excelente,,,29.9,Contaminada,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,SST,OD%L,",SI,NO,NO,SI,SI,ND,NO,SI,LOTICO
OCGCE3174M1,RIO MEDIO,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ,RÍO LA ANTIGUA,RIO MEDIO,LÓTICO,RÍO,-96.20357,19.22803,2022,13,Aceptable,79.54,Contaminada,13,Excelente,24000,Fuertemente contaminada,24000,Fuertemente contaminada,,,30,Contaminada,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,OD%L,",SI,NO,SI,NO,NO,ND,NO,SI,LOTICO
OCGCE3175,MARIA LIZAMBA 2,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,IXMATLAHUACAN,LLANURAS DE PAPALOAPAN,LAGUNA DE MARIA LIZAMBA,LÉNTICO (HUMEDAL),LAGO,-95.990571,18.503603,2022,10,Aceptable,68.29,Contaminada,54,Buena calidad,230,Aceptable,90,Excelente,,,,,38.8,Aceptable,,,38.2,Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LENTICO
OCGCE3178,SANTA URSULA (REF FAPATUX),GOLFO CENTRO,OAXACA,SAN JUAN BAUTISTA TUXTEPEC,RÍO PAPALOAPAN,RIO PAPALOAPAN,LÓTICO (HUMEDAL),RÍO,-96.1835,18.0318,2022,10.3,Aceptable,13.38,Buena calidad,31.9,Buena calidad,19863,Fuertemente contaminada,4884,Fuertemente contaminada,,,96.3,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCGCE3179,CHACALTIAGUIS,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,CHACALTIANGUIS,RÍO PAPALOAPAN,RIO PAPALOAPAN,LÓTICO (HUMEDAL),RÍO,-95.8443,18.29896,2022,<2,Excelente,15.38,Buena calidad,81,Aceptable,4600,Contaminada,930,Contaminada,,,63.7,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCGCE3180,TUXTEPEC (FAPATUX),GOLFO CENTRO,OAXACA,SAN JUAN BAUTISTA TUXTEPEC,RÍO PAPALOAPAN,RIO PAPALOAPAN,LÓTICO (HUMEDAL),RÍO,-96.173278,18.034995,2022,12.9,Aceptable,25.08,Aceptable,100.2,Aceptable,24196,Fuertemente contaminada,17329,Fuertemente contaminada,,,88.9,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCGCE3181,CARLOS A. CARRILLO,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS A. CARRILLO,RÍO PAPALOAPAN,RIO PAPALOAPAN,LÓTICO (HUMEDAL),RÍO,-95.73176,18.36382,2022,<2,Excelente,14.13,Buena calidad,58,Buena calidad,4600,Contaminada,2400,Fuertemente contaminada,,,60.2,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCGCE3183,VILLA AZUETA,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,JOSÉ AZUETA,RÍO PLAYA VICENTE,RIO TESECHOACAN,LÓTICO (HUMEDAL),RÍO,-95.70105,18.07374,2022,<2,Excelente,<10,Excelente,128.1,Aceptable,8664,Contaminada,933,Contaminada,,,92.8,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
OCGCE3184,LOMA BONITA,GOLFO CENTRO,OAXACA,LOMA BONITA,RÍO PAPALOAPAN,RIO OBISPO,LÓTICO (HUMEDAL),RÍO,-95.92351,18.08786,2022,<2,Excelente,<10,Excelente,<10,Excelente,2359,Contaminada,63,Excelente,,,46.2,Aceptable,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
OCGCE3185,TLACOJALPAN,GOLFO CENTRO,VERACRUZ DE IGNACIO DE LA LLAVE,COSAMALOAPAN DE CARPIO,RÍO PAPALOAPAN,RIO PAPALOAPAN,LÓTICO,RÍO,-95.95449,18.23123,2022,<2,Excelente,43.71,Contaminada,26,Buena calidad,24000,Fuertemente contaminada,24000,Fuertemente contaminada,,,68.9,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
OCGCE3186,PALOMARES,GOLFO CENTRO,OAXACA,SAN JUAN BAUTISTA TUXTEPEC,RÍO PAPALOAPAN,RIO OBISPO,LÓTICO,RÍO,-96.09643,17.96649,2022,<2,Excelente,<10,Excelente,13.6,Excelente,19863,Fuertemente contaminada,591,Aceptable,,,90.7,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
