CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_D_48_FON_UT,CALIDAD_TOX_D_48_FON,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,TOX_FIS_FON_15_UT,CALIDAD_TOX_FIS_FON_15,SEMAFORO,CONTAMINANTES,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
DLCOA436,RIO SABINAS 6,RÍO BRAVO,COAHUILA DE ZARAGOZA,JUÁREZ,RÍO SALADO,RIO SABINAS,LÓTICO (HUMEDAL),RÍO,-100.72442,27.61015,2022,<2,Excelente,<10,Excelente,24.6,Excelente,2613,Contaminada,52,Excelente,,,112.2,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOA437,CORTINA PRESA VENUSTIANO CARRANZA,RÍO BRAVO,COAHUILA DE ZARAGOZA,PROGRESO,RÍO SALADO,PRESA VENUSTIANO CARRANZA,LÉNTICO (HUMEDAL),PRESA,-100.6149,27.50921,2022,2.13,Excelente,27.96,Aceptable,19,Excelente,2400,Contaminada,2400,Fuertemente contaminada,,,,,54,Buena calidad,40,Aceptable,36,Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LENTICO
DLCOA439,RIO SABINAS 4,RÍO BRAVO,COAHUILA DE ZARAGOZA,SABINAS,RÍO SALADO,RIO SABINAS,LÓTICO (HUMEDAL),RÍO,-101.02054,27.76779,2022,<2,Excelente,<10,Excelente,26.4,Buena calidad,2909,Contaminada,20,Excelente,,,111.8,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOA441,PUENTE RIO SABINAS,RÍO BRAVO,COAHUILA DE ZARAGOZA,SABINAS,RÍO SALADO,RIO SABINAS,LÓTICO (HUMEDAL),RÍO,-101.1227,27.84027,2022,<2,Excelente,<10,Excelente,11.9,Excelente,3448,Contaminada,324,Buena calidad,,,109.2,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOA442,AGUAS ABAJO DE SABINAS,RÍO BRAVO,COAHUILA DE ZARAGOZA,SABINAS,RÍO SABINAS,RIO SABINAS,LÓTICO (HUMEDAL),RÍO,-101.12512,27.84842,2022,<2,Excelente,<10,Excelente,12.3,Excelente,5475,Contaminada,520,Buena calidad,,,99.5,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOA444,AGUAS ABAJO DEL POBLADO NUEVA ROSITA,RÍO BRAVO,COAHUILA DE ZARAGOZA,SAN JUAN DE SABINAS,RÍO SABINAS,RIO ALAMOS,LÓTICO (HUMEDAL),RÍO,-101.19206,27.89212,2022,<2,Excelente,<10,Excelente,10.1,Excelente,2778,Contaminada,259,Buena calidad,,,102.1,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOA445,AGUAS ARRIBA DEL POBLADO NUEVA ROSITA,RÍO BRAVO,COAHUILA DE ZARAGOZA,SAN JUAN DE SABINAS,RÍO SABINAS,RIO ALAMOS,LÓTICO (HUMEDAL),RÍO,-101.25638,27.94789,2022,<2,Excelente,<10,Excelente,<10,Excelente,789,Aceptable,20,Excelente,,,114.5,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLCOA446,EN POBLADO DE SAN JUAN DE SABINAS,RÍO BRAVO,COAHUILA DE ZARAGOZA,SAN JUAN DE SABINAS,RÍO SABINAS,RIO SABINAS,LÓTICO (HUMEDAL),RÍO,-101.30585,27.92355,2022,<2,Excelente,<10,Excelente,<10,Excelente,1210,Contaminada,20,Excelente,,,109.1,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOA448,RIO SABINAS 3,RÍO BRAVO,COAHUILA DE ZARAGOZA,SAN JUAN DE SABINAS,RÍO SABINAS,RIO SABINAS,LÓTICO (HUMEDAL),RÍO,-101.41911,27.97685,2022,<2,Excelente,<10,Excelente,<10,Excelente,933,Aceptable,84,Excelente,,,105.3,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLCOA449,RIO SABINAS 2,RÍO BRAVO,COAHUILA DE ZARAGOZA,SABINAS,RÍO SABINAS,RIO SABINAS,LÓTICO (HUMEDAL),RÍO,-101.55408,27.9701,2022,<2,Excelente,<10,Excelente,<10,Excelente,1081,Contaminada,10,Excelente,,,106.8,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOA451,RIO SABINAS 1,RÍO BRAVO,COAHUILA DE ZARAGOZA,MÚZQUIZ,RÍO SABINAS,RIO SABINAS,LÓTICO (HUMEDAL),RÍO,-101.58122,27.96926,2022,<2,Excelente,<10,Excelente,13.2,Excelente,1500,Contaminada,10,Excelente,,,107.1,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOA465,"GENERAL MOTORS DE MEXICO, S.A. DE C.V. (A) (AGUAS ABAJO)",RÍO BRAVO,COAHUILA DE ZARAGOZA,RAMOS ARIZPE,RÍO SALINAS,AFLUENTE LA ENCANTADA,LÓTICO,DESCARGA INDUSTRIAL,-100.96546,25.52143,2022,131.25,Fuertemente contaminada,231.23,Fuertemente contaminada,42.6,Buena calidad,2419600,Fuertemente contaminada,2419600,Fuertemente contaminada,,,,,,,,,,,1.6,Toxicidad moderada,1.95,Toxicidad moderada,,,,,,,,,Rojo,"DBO,DQO,CF,E_COLI,",NO,NO,SI,NO,NO,ND,ND,SI,LOTICO
DLCOA468,"GENERAL MOTORS DE MEXICO, S.A. DE C.V. (C) (AGUAS ARRIBA)",RÍO BRAVO,COAHUILA DE ZARAGOZA,RAMOS ARIZPE,RÍO SALINAS,AFLUENTE LA ENCANTADA,LÓTICO,DESCARGA INDUSTRIAL,-100.98609,25.50274,2022,94.5,Contaminada,209.33,Fuertemente contaminada,28.1,Buena calidad,24196,Fuertemente contaminada,24196,Fuertemente contaminada,,,17.5,Contaminada,,,,,,,1.48,Toxicidad moderada,1.53,Toxicidad moderada,,,,,,,,,Rojo,"DBO,DQO,CF,E_COLI,OD%L,",NO,NO,SI,NO,NO,ND,NO,SI,LOTICO
DLCOA478,TOMA DE AGUA DE CFE,RÍO BRAVO,COAHUILA DE ZARAGOZA,GUERRERO,RÍO BRAVO 9,RIO BRAVO,LÓTICO (HUMEDAL),RÍO,-100.40237,28.53229,2022,<2,Excelente,<10,Excelente,24.2,Excelente,1793,Contaminada,20,Excelente,,,123.4,Aceptable,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOA479,RIO BRAVO 11,RÍO BRAVO,COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,RÍO BRAVO 9,RIO BRAVO,LÓTICO,RÍO,-100.50545,28.67511,2022,<2,Excelente,<10,Excelente,18.5,Excelente,2046,Contaminada,175,Buena calidad,,,136.5,Contaminada,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,OD%L,",SI,SI,SI,NO,SI,ND,NO,SI,LOTICO
DLCOA480,AGUAS ARRIBA DE CONFLUENCIA CON RIO BRAVO,RÍO BRAVO,COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,RÍO BRAVO 9,RIO ESCONDIDO,LÓTICO,RÍO,-100.50154,28.66191,2022,<2,Excelente,10.82,Buena calidad,20,Excelente,24196,Fuertemente contaminada,1266,Fuertemente contaminada,,,109.2,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
DLCOA481,PUENTE INTERNACIONAL PIEDRAS NEGRAS,RÍO BRAVO,COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,RÍO BRAVO 9,RIO BRAVO,LÓTICO (HUMEDAL),RÍO,-100.5111,28.70915,2022,<2,Excelente,<10,Excelente,20,Excelente,2359,Contaminada,279,Buena calidad,,,128.8,Aceptable,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOA484,RIO BRAVO POBLADO BALCONES,RÍO BRAVO,COAHUILA DE ZARAGOZA,ACUÑA,RÍO BRAVO 7,RIO BRAVO,LÓTICO,RÍO,-100.87948,29.28122,2022,<2,Excelente,<10,Excelente,10.5,Excelente,6131,Contaminada,144,Buena calidad,,,114.1,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOA486,PARQUE INDUSTRIAL ACUÑA,RÍO BRAVO,COAHUILA DE ZARAGOZA,ACUÑA,RÍO BRAVO 6,RIO BRAVO,LÓTICO,RÍO,-101.00435,29.36448,2022,<2,Excelente,22.57,Aceptable,<10,Excelente,1872,Contaminada,20,Excelente,,,119,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCOA487,CORTINA PRESA LA AMISTAD,RÍO BRAVO,COAHUILA DE ZARAGOZA,ACUÑA,RÍO BRAVO 5,INTERNACIONAL LA AMISTAD,LÉNTICO (HUMEDAL),PRESA,-101.06331,29.45219,2022,<2,Excelente,<10,Excelente,<10,Excelente,435,Aceptable,<3,Excelente,,,,,96.7,Excelente,91.6,Excelente,71.5,Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCOA488,PRESA INTERNACIONAL LA AMISTAD 4,RÍO BRAVO,COAHUILA DE ZARAGOZA,ACUÑA,RÍO BRAVO 5,INTERNACIONAL LA AMISTAD,LÉNTICO (HUMEDAL),PRESA,-101.11588,29.45434,2022,4.12,Buena calidad,12.54,Buena calidad,<10,Excelente,4884,Contaminada,31,Excelente,,,,,99.4,Excelente,,,,,,,,,<1,No Toxico,,,<1,No Toxico,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LENTICO
DLCOA489,REPRESA HIDRAULICA DEL RIO,RÍO BRAVO,COAHUILA DE ZARAGOZA,ACUÑA,RÍO BRAVO 5,REPRESA RIO BRAVO,LÉNTICO (HUMEDAL),PRESA,-101.15818,29.4667,2022,<2,Excelente,16.72,Buena calidad,25,Excelente,2755,Contaminada,<3,Excelente,,,,,114.1,Buena calidad,,,88.8,Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LENTICO
DLCOA490,PRESA INTERNACIONAL LA AMISTAD 5,RÍO BRAVO,COAHUILA DE ZARAGOZA,ACUÑA,RÍO BRAVO 5,PRESA INTERNACIONAL LA AMISTAD,LÉNTICO (HUMEDAL),PRESA,-101.25259,29.51944,2022,<2,Excelente,<10,Excelente,25.2,Buena calidad,384,Aceptable,<3,Excelente,,,,,103.5,Excelente,94.2,Excelente,80.4,Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCOA491,PRESA INTERNACIONAL LA AMISTAD 6,RÍO BRAVO,COAHUILA DE ZARAGOZA,ACUÑA,RÍO BRAVO 5,PRESA INTERNACIONAL LA AMISTAD,LÉNTICO (HUMEDAL),PRESA,-101.24739,29.57344,2022,<2,Excelente,<10,Excelente,<10,Excelente,345,Aceptable,<3,Excelente,,,,,103.2,Excelente,,,61.9,Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCOA494,PRESA INTERNACIONAL LA AMISTAD 1,RÍO BRAVO,COAHUILA DE ZARAGOZA,ACUÑA,RÍO BRAVO 5,INTERNACIONAL LA AMISTAD,LÉNTICO (HUMEDAL),PRESA,-101.30838,29.49842,2022,<2,Excelente,18.39,Buena calidad,<10,Excelente,1607,Contaminada,<3,Excelente,,,,,51.6,Buena calidad,,,,,,,,,<1,No Toxico,,,<1,No Toxico,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LENTICO
DLCOA495,PRESA INTERNACIONAL LA AMISTAD 2,RÍO BRAVO,COAHUILA DE ZARAGOZA,ACUÑA,RÍO BRAVO 5,INTERNACIONAL LA AMISTAD,LÉNTICO (HUMEDAL),PRESA,-101.30058,29.47494,2022,<2,Excelente,<10,Excelente,18.9,Excelente,,,31,Excelente,,,,,61.9,Buena calidad,,,,,,,,,<1,No Toxico,,,<1,No Toxico,,,Verde,,SI,SI,SI,ND,SI,ND,SI,SI,LENTICO
